sim_t,client,soc,temp,throttled,alive,ul,dl,power_W,scale
2,7,0.9,42.5102,1,1,17.7532,17.7532,15.3551,1
2.1,0,0.243776,43.2137,1,1,15.2899,15.2899,13.2722,1
2.1,1,0.193776,43.2137,1,1,15.2899,15.2899,13.2722,1
2.1,2,0.507276,38.6537,0,1,10.15,10.15,9.12114,1
2.1,3,0.543776,43.2137,1,1,15.2899,15.2899,13.2722,1
2.1,4,0.307276,38.6537,0,1,10.15,10.15,9.12114,1
2.1,5,0.223776,43.2137,1,1,15.2899,15.2899,13.2722,1
2.1,6,0.788607,38.6537,0,1,10.15,10.15,9.12114,1
2.1,7,0.9,43.2137,1,1,15.2899,15.2899,13.2722,1
2.2,0,0.241056,43.9386,1,1,15.8154,15.8154,13.712,1
2.2,1,0.191056,43.9386,1,1,15.8154,15.8154,13.712,1
2.2,2,0.505773,38.9943,0,1,8.12497,8.12497,7.57468,1
2.2,3,0.541056,43.9386,1,1,15.8154,15.8154,13.712,1
2.2,4,0.305773,38.9943,0,1,8.12497,8.12497,7.57468,1
2.2,5,0.221056,43.9386,1,1,15.8154,15.8154,13.712,1
2.2,6,0.788206,38.9943,0,1,8.12497,8.12497,7.57468,1
2.2,7,0.9,43.9386,1,1,15.8154,15.8154,13.712,1
2.3,0,0.23781,44.8497,1,1,18.9167,18.9167,16.357,1
2.3,1,0.18781,44.8497,1,1,18.9167,18.9167,16.357,1
2.3,2,0.503486,39.6258,0,1,13.1765,13.1765,11.5306,1
2.3,3,0.53781,44.8497,1,1,18.9167,18.9167,16.357,1
2.3,4,0.303486,39.6258,0,1,13.1765,13.1765,11.5306,1
2.3,5,0.21781,44.8497,1,1,18.9167,18.9167,16.357,1
2.3,6,0.787596,39.6258,0,1,13.1765,13.1765,11.5306,1
2.3,7,0.9,44.8497,1,1,18.9167,18.9167,16.357,1
2.4,0,0.235383,45.4364,1,1,14.0367,14.0367,12.2341,1
2.4,1,0.185383,45.4364,1,1,14.0367,14.0367,12.2341,1
2.4,2,0.501321,40.2003,0,1,12.4092,12.4092,10.9097,1
2.4,3,0.535383,45.4364,1,1,14.0367,14.0367,12.2341,1
2.4,4,0.301321,40.2003,0,1,12.4092,12.4092,10.9097,1
2.4,5,0.215383,45.4364,1,1,14.0367,14.0367,12.2341,1
2.4,6,0.787019,40.2003,0,1,12.4092,12.4092,10.9097,1
2.4,7,0.9,45.4364,1,1,14.0367,14.0367,12.2341,1
2.5,0,0.233305,45.8812,1,1,11.8621,11.8621,10.4711,1
2.5,1,0.183305,45.8812,1,1,11.8621,11.8621,10.4711,1
2.5,2,0.499002,40.8235,0,1,13.3692,13.3692,11.6876,1
2.5,3,0.533305,45.8812,1,1,11.8621,11.8621,10.4711,1
2.5,4,0.299002,40.8235,0,1,13.3692,13.3692,11.6876,1
2.5,5,0.213305,45.8812,1,1,11.8621,11.8621,10.4711,1
2.5,6,0.786401,40.8235,0,1,13.3692,13.3692,11.6876,1
2.5,7,0.9,45.8812,1,1,11.8621,11.8621,10.4711,1
2.6,0,0.230797,46.4812,1,1,14.5303,14.5303,12.6412,1
2.6,1,0.180797,46.4812,1,1,14.5303,14.5303,12.6412,1
2.6,2,0.496881,41.3615,1,1,12.1345,12.1345,10.6891,1
2.6,3,0.530797,46.4812,1,1,14.5303,14.5303,12.6412,1
2.6,4,0.296881,41.3615,1,1,12.1345,12.1345,10.6891,1
2.6,5,0.210797,46.4812,1,1,14.5303,14.5303,12.6412,1
2.6,6,0.785835,41.3615,1,1,12.1345,12.1345,10.6891,1
2.6,7,0.9,46.4812,1,1,14.5303,14.5303,12.6412,1
2.7,0,0.228702,46.915,1,1,11.9691,11.9691,10.5566,1
2.7,1,0.178702,46.915,1,1,11.9691,11.9691,10.5566,1
2.7,2,0.495144,41.7454,1,1,9.67744,9.67744,8.75512,1
2.7,3,0.528702,46.915,1,1,11.9691,11.9691,10.5566,1
2.7,4,0.295144,41.7454,1,1,9.67744,9.67744,8.75512,1
2.7,5,0.208702,46.915,1,1,11.9691,11.9691,10.5566,1
2.7,6,0.785372,41.7454,1,1,9.67744,9.67744,8.75512,1
2.7,7,0.9,46.915,1,1,11.9691,11.9691,10.5566,1
2.8,0,0.22557,47.7337,1,1,18.2559,18.2559,15.7867,1
2.8,1,0.17557,47.7337,1,1,18.2559,18.2559,15.7867,1
2.8,2,0.492864,42.3282,1,1,13.1285,13.1285,11.4916,1
2.8,3,0.52557,47.7337,1,1,18.2559,18.2559,15.7867,1
2.8,4,0.292864,42.3282,1,1,13.1285,13.1285,11.4916,1
2.8,5,0.20557,47.7337,1,1,18.2559,18.2559,15.7867,1
2.8,6,0.784764,42.3282,1,1,13.1285,13.1285,11.4916,1
2.8,7,0.9,47.7337,1,1,18.2559,18.2559,15.7867,1
2.9,0,0.222274,48.6009,1,1,19.2131,19.2131,16.614,1
2.9,1,0.172274,48.6009,1,1,19.2131,19.2131,16.614,1
2.9,2,0.491316,42.6244,1,1,8.42535,8.42535,7.80031,1
